project,bug_id,tool,detected,rank,mrr,map,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
Chart,1,FlexFL,Yes,5.0,0.2,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Chart,1,boostnsift,Yes,1.0,1.0,1.0,43.391459941864014,2025-11-05T15:01:15.694810,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,1,buglocator,Yes,14.0,0.071429,0.071429,0.0076777935028076,2025-11-15T23:43:32.013111,2025-12-22T16:51:23.142561,,,,,,,,,,0,0,0
Chart,1,locus,Yes,2.0,0.5,0.5,17.648810148239136,2025-11-05T14:02:09.328946,2025-12-22T16:51:23.142561,,,,,,,,,,0,1,1
Chart,2,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,2,boostnsift,Yes,5.0,0.2,0.2,39.549596071243286,2025-11-05T15:04:06.083735,2025-12-22T16:51:23.142561,,,,,,,,,,0,1,1
Chart,2,buglocator,Yes,3.0,0.333333,0.333333,0.0036532878875732,2025-11-15T23:43:32.019583,2025-12-22T16:51:23.142561,,,,,,,,,,0,1,1
Chart,2,locus,No,,0.0,0.0,129.43241262435913,2025-11-05T15:05:34.507780,2025-12-22T16:51:23.142561,,,,,,,,,,0,0,0
Chart,3,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,4,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Chart,5,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,5,boostnsift,Yes,1.0,1.0,1.0,37.52573871612549,2025-11-05T15:05:38.426055,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,5,buglocator,Yes,1.0,1.0,1.0,0.0021164417266845,2025-11-15T23:43:32.019006,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,5,locus,Yes,1.0,1.0,1.0,54.81646728515625,2025-11-05T15:05:00.900250,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,6,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,7,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,8,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,9,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,9,boostnsift,Yes,1.0,1.0,1.0,36.4014790058136,2025-11-05T15:06:14.827586,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,9,buglocator,Yes,1.0,1.0,1.0,0.0017635822296142,2025-11-15T23:43:32.020830,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,9,locus,Yes,1.0,1.0,1.0,44.85454344749451,2025-11-05T15:06:19.362387,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,10,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,11,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,11,boostnsift,Yes,1.0,1.0,1.0,36.716718912124634,2025-11-05T15:01:34.123623,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,11,buglocator,Yes,1.0,1.0,1.0,0.0041604042053222,2025-11-15T23:43:32.011549,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,11,locus,No,,0.0,0.0,6.656730890274048,2025-11-05T11:11:40.504625,2025-12-22T16:51:23.142561,,,,,,,,,,0,0,0
Chart,12,FlexFL,Yes,3.0,0.3333333333333333,0.3333333333333333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Chart,12,boostnsift,Yes,2.0,0.5,0.5,37.096739768981934,2025-11-05T15:02:11.220417,2025-12-22T16:51:23.142561,,,,,,,,,,0,1,1
Chart,12,buglocator,Yes,1.0,1.0,1.0,0.0029597282409667,2025-11-15T23:43:32.014547,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,12,locus,No,,0.0,0.0,50.69382166862488,2025-11-05T15:02:06.388679,2025-12-22T16:51:23.142561,,,,,,,,,,0,0,0
Chart,13,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,14,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,15,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,16,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,16,boostnsift,Yes,1.0,1.0,1.0,35.96269369125366,2025-11-05T15:02:47.183168,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,16,buglocator,Yes,1.0,1.0,1.0,0.0037224292755126,2025-11-15T23:43:32.016866,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,16,locus,Yes,1.0,1.0,1.0,43.24803876876831,2025-11-05T15:02:49.636771,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,17,FlexFL,Yes,2.0,0.5,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Chart,17,boostnsift,Yes,1.0,1.0,1.0,36.897265911102295,2025-11-05T15:03:26.534088,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,17,buglocator,Yes,1.0,1.0,1.0,0.0013225078582763,2025-11-15T23:43:32.015898,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
Chart,17,locus,Yes,1.0,1.0,1.0,37.892099142074585,2025-11-05T15:03:25.075314,2025-12-22T16:51:23.142561,,,,,,,,,,1,1,1
